image,method,mse,psnr_db,ssim,orig_width,orig_height,pipeline,target_width,target_height
complex_image_23.jpg,simple_resize,0.7312379412673824,49.49021643602243,0.9984263241634119,563,657,preprocessing_only,1080,1080
complex_image_23.jpg,padding_resize,755.0709434220712,19.350926027628546,0.8945323002327987,563,657,preprocessing_only,1080,1080
complex_image_24.jpg,simple_resize,0.6738653795692631,49.84507216186746,0.9989943595113709,962,824,preprocessing_only,1080,1080
complex_image_24.jpg,padding_resize,503.53407898189454,21.110514921094854,0.9417651782865881,962,824,preprocessing_only,1080,1080
complex_image_25.jpg,simple_resize,0.8417570108691331,48.87893618618478,0.9990282298248189,904,742,preprocessing_only,1080,1080
complex_image_25.jpg,padding_resize,1195.1876222479307,17.356442740683217,0.9034788346762798,904,742,preprocessing_only,1080,1080
complex_image_26.jpg,simple_resize,0.47979770504024744,51.32022194540685,0.9989781652714953,615,807,preprocessing_only,1080,1080
complex_image_26.jpg,padding_resize,1291.7034310219187,17.019175477160346,0.9207389499169022,615,807,preprocessing_only,1080,1080
complex_image_27.jpg,simple_resize,1.2922931911667335,47.017193047471494,0.9987611712699687,968,803,preprocessing_only,1080,1080
complex_image_27.jpg,padding_resize,1644.105487256809,15.971506820532792,0.9179904174015027,968,803,preprocessing_only,1080,1080
complex_image_28.jpg,simple_resize,1.775868207460659,45.63669628533659,0.9984548443723681,863,588,preprocessing_only,1080,1080
complex_image_28.jpg,padding_resize,2054.7076971383376,15.003303130252021,0.8972442924047073,863,588,preprocessing_only,1080,1080
complex_image_29.jpg,simple_resize,0.25377174231307575,54.08637099455696,0.9993725363297844,948,831,preprocessing_only,1080,1080
complex_image_29.jpg,padding_resize,390.91454723013464,22.209985285931964,0.9642230998393191,948,831,preprocessing_only,1080,1080
complex_image_3.jpg,simple_resize,1.4606440342066453,46.485359716385474,0.9982611096418638,654,573,preprocessing_only,1080,1080
complex_image_3.jpg,padding_resize,555.1907507921005,20.686381384957016,0.9155236604766055,654,573,preprocessing_only,1080,1080
complex_image_30.jpg,simple_resize,0.6472062680521895,50.02037646195561,0.998907273656309,637,662,preprocessing_only,1080,1080
complex_image_30.jpg,padding_resize,231.43181785844712,24.48657294193336,0.939038772441403,637,662,preprocessing_only,1080,1080
