Run,Image,SSIM,MSE
28,random_image_7.jpg,0.8717699181389782,18.833256406695476
28,random_image_6.jpg,0.823826665895304,28.448873177198408
28,random_image_2.jpg,0.7844953825399152,67.27158749427849
28,random_image_3.jpg,0.8528521842059538,42.51008548900623
28,random_image_1.jpg,0.9338219724340472,18.791952583688122
28,random_image_10.jpg,0.8878870790392366,36.564499350385525
28,random_image_8.jpg,0.8355484985204275,14.788502511249488
28,random_image_9.jpg,0.816407941831002,17.718855792850718
29,random_image_4.jpg,0.8222425362468146,16.7507794446686
29,random_image_5.jpg,0.8841847746050576,19.81020066889632
29,random_image_7.jpg,0.8717699181389782,18.833256406695476
29,random_image_6.jpg,0.823826665895304,28.448873177198408
29,random_image_2.jpg,0.7844953825399152,67.27158749427849
29,random_image_3.jpg,0.8528521842059538,42.51008548900623
29,random_image_1.jpg,0.9338219724340472,18.791952583688122
29,random_image_10.jpg,0.8878870790392366,36.564499350385525
29,random_image_8.jpg,0.8355484985204275,14.788502511249488
29,random_image_9.jpg,0.816407941831002,17.718855792850718
30,random_image_4.jpg,0.8222425362468146,16.7507794446686
30,random_image_5.jpg,0.8841847746050576,19.81020066889632
30,random_image_7.jpg,0.8717699181389782,18.833256406695476
30,random_image_6.jpg,0.823826665895304,28.448873177198408
30,random_image_2.jpg,0.7844953825399152,67.27158749427849
30,random_image_3.jpg,0.8528521842059538,42.51008548900623
30,random_image_1.jpg,0.9338219724340472,18.791952583688122
30,random_image_10.jpg,0.8878870790392366,36.564499350385525
30,random_image_8.jpg,0.8355484985204275,14.788502511249488
30,random_image_9.jpg,0.816407941831002,17.718855792850718
31,random_image_4.jpg,0.8222425362468146,16.7507794446686
31,random_image_5.jpg,0.8841847746050576,19.81020066889632
31,random_image_7.jpg,0.8717699181389782,18.833256406695476
31,random_image_6.jpg,0.823826665895304,28.448873177198408
31,random_image_2.jpg,0.7844953825399152,67.27158749427849
31,random_image_3.jpg,0.8528521842059538,42.51008548900623
31,random_image_1.jpg,0.9338219724340472,18.791952583688122
31,random_image_10.jpg,0.8878870790392366,36.564499350385525
31,random_image_8.jpg,0.8355484985204275,14.788502511249488
31,random_image_9.jpg,0.816407941831002,17.718855792850718
32,random_image_4.jpg,0.8222425362468146,16.7507794446686
32,random_image_5.jpg,0.8841847746050576,19.81020066889632
32,random_image_7.jpg,0.8717699181389782,18.833256406695476
32,random_image_6.jpg,0.823826665895304,28.448873177198408
32,random_image_2.jpg,0.7844953825399152,67.27158749427849
32,random_image_3.jpg,0.8528521842059538,42.51008548900623
32,random_image_1.jpg,0.9338219724340472,18.791952583688122
32,random_image_10.jpg,0.8878870790392366,36.564499350385525
32,random_image_8.jpg,0.8355484985204275,14.788502511249488
32,random_image_9.jpg,0.816407941831002,17.718855792850718
33,random_image_4.jpg,0.8222425362468146,16.7507794446686
33,random_image_5.jpg,0.8841847746050576,19.81020066889632
33,random_image_7.jpg,0.8717699181389782,18.833256406695476
33,random_image_6.jpg,0.823826665895304,28.448873177198408
33,random_image_2.jpg,0.7844953825399152,67.27158749427849
33,random_image_3.jpg,0.8528521842059538,42.51008548900623
33,random_image_1.jpg,0.9338219724340472,18.791952583688122
33,random_image_10.jpg,0.8878870790392366,36.564499350385525
33,random_image_8.jpg,0.8355484985204275,14.788502511249488
33,random_image_9.jpg,0.816407941831002,17.718855792850718
34,random_image_4.jpg,0.8222425362468146,16.7507794446686
34,random_image_5.jpg,0.8841847746050576,19.81020066889632
34,random_image_7.jpg,0.8717699181389782,18.833256406695476
34,random_image_6.jpg,0.823826665895304,28.448873177198408
34,random_image_2.jpg,0.7844953825399152,67.27158749427849
34,random_image_3.jpg,0.8528521842059538,42.51008548900623
34,random_image_1.jpg,0.9338219724340472,18.791952583688122
34,random_image_10.jpg,0.8878870790392366,36.564499350385525
34,random_image_8.jpg,0.8355484985204275,14.788502511249488
34,random_image_9.jpg,0.816407941831002,17.718855792850718
35,random_image_4.jpg,0.8222425362468146,16.7507794446686
35,random_image_5.jpg,0.8841847746050576,19.81020066889632
35,random_image_7.jpg,0.8717699181389782,18.833256406695476
35,random_image_6.jpg,0.823826665895304,28.448873177198408
35,random_image_2.jpg,0.7844953825399152,67.27158749427849
35,random_image_3.jpg,0.8528521842059538,42.51008548900623
35,random_image_1.jpg,0.9338219724340472,18.791952583688122
35,random_image_10.jpg,0.8878870790392366,36.564499350385525
35,random_image_8.jpg,0.8355484985204275,14.788502511249488
35,random_image_9.jpg,0.816407941831002,17.718855792850718
36,random_image_4.jpg,0.8222425362468146,16.7507794446686
36,random_image_5.jpg,0.8841847746050576,19.81020066889632
36,random_image_7.jpg,0.8717699181389782,18.833256406695476
36,random_image_6.jpg,0.823826665895304,28.448873177198408
36,random_image_2.jpg,0.7844953825399152,67.27158749427849
36,random_image_3.jpg,0.8528521842059538,42.51008548900623
36,random_image_1.jpg,0.9338219724340472,18.791952583688122
36,random_image_10.jpg,0.8878870790392366,36.564499350385525
36,random_image_8.jpg,0.8355484985204275,14.788502511249488
36,random_image_9.jpg,0.816407941831002,17.718855792850718
37,random_image_4.jpg,0.8222425362468146,16.7507794446686
37,random_image_5.jpg,0.8841847746050576,19.81020066889632
37,random_image_7.jpg,0.8717699181389782,18.833256406695476
37,random_image_6.jpg,0.823826665895304,28.448873177198408
37,random_image_2.jpg,0.7844953825399152,67.27158749427849
37,random_image_3.jpg,0.8528521842059538,42.51008548900623
37,random_image_1.jpg,0.9338219724340472,18.791952583688122
37,random_image_10.jpg,0.8878870790392366,36.564499350385525
37,random_image_8.jpg,0.8355484985204275,14.788502511249488
37,random_image_9.jpg,0.816407941831002,17.718855792850718
38,random_image_4.jpg,0.8222425362468146,16.7507794446686
38,random_image_5.jpg,0.8841847746050576,19.81020066889632
38,random_image_7.jpg,0.8717699181389782,18.833256406695476
38,random_image_6.jpg,0.823826665895304,28.448873177198408
38,random_image_2.jpg,0.7844953825399152,67.27158749427849
38,random_image_3.jpg,0.8528521842059538,42.51008548900623
38,random_image_1.jpg,0.9338219724340472,18.791952583688122
38,random_image_10.jpg,0.8878870790392366,36.564499350385525
38,random_image_8.jpg,0.8355484985204275,14.788502511249488
38,random_image_9.jpg,0.816407941831002,17.718855792850718
39,random_image_4.jpg,0.8222425362468146,16.7507794446686
39,random_image_5.jpg,0.8841847746050576,19.81020066889632
39,random_image_7.jpg,0.8717699181389782,18.833256406695476
39,random_image_6.jpg,0.823826665895304,28.448873177198408
39,random_image_2.jpg,0.7844953825399152,67.27158749427849
39,random_image_3.jpg,0.8528521842059538,42.51008548900623
39,random_image_1.jpg,0.9338219724340472,18.791952583688122
39,random_image_10.jpg,0.8878870790392366,36.564499350385525
39,random_image_8.jpg,0.8355484985204275,14.788502511249488
39,random_image_9.jpg,0.816407941831002,17.718855792850718
40,random_image_4.jpg,0.8222425362468146,16.7507794446686
40,random_image_5.jpg,0.8841847746050576,19.81020066889632
40,random_image_7.jpg,0.8717699181389782,18.833256406695476
