category,aspect_ratio,method,pipeline,mean_mse,median_mse,std_mse,mean_psnr,median_psnr,mean_ssim,median_ssim,std_ssim,n
architecture,very_wide,padding_resize,instagram_low_quality,3991.8770597029325,3620.7082141565393,701.0619029770606,12.16130540128144,12.542868335896102,0.5239681092722411,0.5321249852183143,0.0167024736826208,3
architecture,very_wide,padding_resize,instagram_square,3998.1373682846256,3634.3841218171297,696.0938534956314,12.15379719797996,12.52649534437047,0.5247599592258122,0.5330806505883018,0.016615570047341797,3
architecture,very_wide,padding_resize,instagram_standard,3998.1373682846256,3634.3841218171297,696.0938534956314,12.15379719797996,12.52649534437047,0.5247599592258122,0.5330806505883018,0.016615570047341797,3
architecture,very_wide,padding_resize,preprocessing_only,91.88647919077933,93.2803512008102,9.729741150747541,28.51485475067419,28.432901883298285,0.9429672976034408,0.9441303776047748,0.0036848737456181687,3
architecture,very_wide,simple_resize,instagram_high_quality,86.38957911361882,86.42682345920139,6.25250371436586,28.77379637004473,28.764318096807727,0.9534229589547825,0.9550434719220688,0.002869130405299018,3
architecture,very_wide,simple_resize,instagram_landscape,228.33621545862266,234.26202618634255,17.46136594638738,24.553741870092722,24.43378465588556,0.8518960548122929,0.8523018139259346,0.004935564482845895,3
architecture,very_wide,simple_resize,instagram_low_quality,103.78726707175927,101.62587565104168,8.381293940477933,27.978649588017817,28.060760601867983,0.9397938035145184,0.9415511251830262,0.0033000617496415424,3
architecture,very_wide,simple_resize,instagram_square,98.13358452690971,96.62061451099537,7.608261893045054,28.22122520563396,28.28010565578249,0.9441361070528757,0.945841005340594,0.0032331860218548043,3
architecture,very_wide,simple_resize,instagram_standard,98.13358452690971,96.62061451099537,7.608261893045054,28.22122520563396,28.28010565578249,0.9441361070528757,0.945841005340594,0.0032331860218548043,3
architecture,very_wide,simple_resize,preprocessing_only,57.66817931375385,58.55137333622685,5.758403274210788,30.536165968920272,30.45543274860889,0.9658944443377578,0.9670267878678838,0.0021020861252604326,3
architecture,wide,padding_resize,instagram_high_quality,3072.295854695359,2979.956062457133,244.33345223149317,13.265120909806626,13.388705001383292,0.5720018438190112,0.5703257864776857,0.01371849864808051,3
architecture,wide,padding_resize,instagram_landscape,2983.8297274377,2902.0155621999315,225.752988490781,13.391175264510514,13.503806238346169,0.5546722846444755,0.5527779747883522,0.013960159997895412,3
architecture,wide,padding_resize,instagram_low_quality,3069.0367177497715,2978.072455632716,243.27979044748022,13.269674527945142,13.391451010653608,0.5683605201577664,0.5665738951949552,0.014223344259428176,3
architecture,wide,padding_resize,instagram_square,3070.3093126286008,2978.328435356653,242.58066524991773,13.267814122163486,13.3910777295945,0.5697395520067138,0.5679137770238357,0.013921257341164148,3
architecture,wide,padding_resize,instagram_standard,3070.3093126286008,2978.328435356653,242.58066524991773,13.267814122163486,13.3910777295945,0.5697395520067138,0.5679137770238357,0.013921257341164148,3
architecture,wide,padding_resize,preprocessing_only,51.761028020690446,50.04128986625514,6.689787663046525,31.014397474761463,31.137518653106103,0.971084381036272,0.9720118305201776,0.002651968214220774,3
architecture,wide,simple_resize,instagram_high_quality,55.79755815614999,55.31618591392319,4.343350316038265,30.67337482989339,30.70228133278098,0.9708793354086603,0.9719117894494096,0.002586189942959893,3
architecture,wide,simple_resize,instagram_landscape,203.42609253543665,206.11256944444443,8.802900335886616,25.049482929244963,24.989758835287255,0.8752549120756606,0.8781184539980564,0.007547784204674218,3
architecture,wide,simple_resize,instagram_low_quality,71.50258701989026,69.23444573045268,6.4063165893433975,29.598928767919592,29.727581411413105,0.9568585999091822,0.957765244388494,0.0028602469019782437,3
architecture,wide,simple_resize,instagram_square,66.51608010402377,64.8806884430727,5.9276749270532205,29.912816651227686,30.009649113811896,0.9612214630632283,0.9623085733851064,0.002945146716853893,3
architecture,wide,simple_resize,instagram_standard,66.51608010402377,64.8806884430727,5.9276749270532205,29.912816651227686,30.009649113811896,0.9612214630632283,0.9623085733851064,0.002945146716853893,3
architecture,wide,simple_resize,preprocessing_only,30.390639931984452,28.46562414266118,4.518597782914008,33.334071457473506,33.5875965019296,0.9842603114790206,0.9851183708976852,0.0018461497376201152,3
coral,portrait,padding_resize,instagram_high_quality,2312.8457252451353,2369.186218183204,266.3137726856828,14.509111658852959,14.384811632304215,0.9087403156309678,0.9171437631869588,0.014860051560171773,3
coral,portrait,padding_resize,instagram_landscape,2286.4238238581515,2334.7204153330285,260.78142971446584,14.55858135784792,14.44845479969204,0.9055960502415811,0.914136361521308,0.015088444071071449,3
coral,portrait,padding_resize,instagram_low_quality,2312.330381928568,2368.9161842706903,266.43235392700257,14.510107979559082,14.38530665849106,0.9074480661142879,0.9159753728582178,0.015097389084581091,3
coral,portrait,padding_resize,instagram_square,2315.101159249098,2368.999393004115,262.3278129107999,14.504231260492801,14.385154114220542,0.9079560947482691,0.9163953904950444,0.014937894458054973,3
coral,portrait,padding_resize,instagram_standard,2315.101159249098,2368.999393004115,262.3278129107999,14.504231260492801,14.385154114220542,0.9079560947482691,0.9163953904950444,0.014937894458054973,3
coral,portrait,padding_resize,preprocessing_only,0.0,0.0,0.0,inf,inf,1.0,1.0,0.0,3
coral,portrait,simple_resize,instagram_high_quality,14.5266938474826,12.34453055936595,3.902887758978663,36.60601252509099,37.21605781735918,0.994947470449589,0.9950657630604284,0.0004973782111168077,3
