Run,Method,Image,SSIM,MSE
4,Simple Resize,complex_image_37.jpg,0.9901388526692276,2.89365459318725
4,Simple Resize,complex_image_36.jpg,0.9942346210951456,1.4897281187529685
4,Simple Resize,complex_image_22.jpg,0.9875025759612398,2.1517682342185656
4,Simple Resize,complex_image_26.jpg,0.9940487524091024,1.4367495793917047
4,Simple Resize,complex_image_32.jpg,0.9927602156130686,1.7619926199261993
4,Simple Resize,complex_image_33.jpg,0.9904492144550019,2.4745852053895327
4,Simple Resize,complex_image_27.jpg,0.9899689440011215,2.1910603830676285
4,Simple Resize,complex_image_19.jpg,0.9944385590734465,1.28560120546273
4,Simple Resize,complex_image_31.jpg,0.9920051837057816,1.8551569646731918
4,Simple Resize,complex_image_25.jpg,0.9926311470133647,2.1864459843045583
4,Simple Resize,complex_image_24.jpg,0.9919481189115471,1.8118124659386796
4,Simple Resize,complex_image_30.jpg,0.9952541983907222,1.2269892386422383
4,Simple Resize,complex_image_18.jpg,0.9924952680596565,1.995850162258072
4,Simple Resize,complex_image_43.jpg,0.98990399391017,3.33661316753422
4,Simple Resize,complex_image_42.jpg,0.9923574812637699,1.5801351955201035
4,Simple Resize,complex_image_40.jpg,0.9892757187774927,2.6957024331127064
4,Simple Resize,complex_image_8.jpg,0.9913007056677732,1.6842686842686843
4,Simple Resize,complex_image_9.jpg,0.9949583397667945,1.116137537332006
4,Simple Resize,complex_image_41.jpg,0.9916783239623053,2.013519187935882
4,Simple Resize,complex_image_45.jpg,0.9899513752189059,2.712948166064393
4,Simple Resize,complex_image_50.jpg,0.9896609150414961,1.8719419610717698
4,Simple Resize,complex_image_44.jpg,0.9939030579777164,1.317248555546428
4,Simple Resize,complex_image_46.jpg,0.9925079257371853,2.023102564893978
4,Simple Resize,complex_image_47.jpg,0.9935557896008967,1.6975408284259508
4,Simple Resize,complex_image_2.jpg,0.996173028879986,1.0951139817103142
4,Simple Resize,complex_image_3.jpg,0.9932102471872042,1.5926424046410597
4,Simple Resize,complex_image_49.jpg,0.9908013475658762,1.2875145558463756
4,Simple Resize,complex_image_1.jpg,0.9852942127061857,3.9903747535661283
4,Simple Resize,complex_image_48.jpg,0.9920824416153576,2.732339408729251
4,Simple Resize,complex_image_4.jpg,0.9920975942408982,2.278438482146087
4,Simple Resize,complex_image_5.jpg,0.9939768266542992,1.2507557767557043
4,Simple Resize,complex_image_7.jpg,0.9926493292533584,1.9339699516170104
4,Simple Resize,complex_image_6.jpg,0.9925190029167511,1.709825752936592
4,Simple Resize,complex_image_15.jpg,0.9918976914316664,2.40582624146638
4,Simple Resize,complex_image_29.jpg,0.9941661681405571,1.1131027636876927
4,Simple Resize,complex_image_28.jpg,0.9918644648315659,2.3018835575945324
4,Simple Resize,complex_image_14.jpg,0.9945584770539385,1.354399441340782
4,Simple Resize,complex_image_16.jpg,0.991849376642309,2.1036151010126285
4,Simple Resize,complex_image_17.jpg,0.9960291458302022,0.8754719191133254
4,Simple Resize,complex_image_13.jpg,0.9943191200876482,1.8043271212702745
4,Simple Resize,complex_image_12.jpg,0.9932986032533634,1.6233639607979635
4,Simple Resize,complex_image_38.jpg,0.9875212237367214,3.208213506115519
4,Simple Resize,complex_image_10.jpg,0.9945727981193813,1.330233480965669
4,Simple Resize,complex_image_11.jpg,0.9910119811145459,1.6810192467183345
4,Simple Resize,complex_image_39.jpg,0.9911960724101091,2.4866742900857037
5,Simple Resize,complex_image_34.jpg,0.9949919612319401,1.0937037603959385
5,Simple Resize,complex_image_20.jpg,0.9948412939833641,1.3092824928249283
5,Simple Resize,complex_image_21.jpg,0.9954741905677618,1.2792416966786715
5,Simple Resize,complex_image_35.jpg,0.9953989933948997,0.904291068307537
5,Simple Resize,complex_image_23.jpg,0.9933155474312906,1.6070842491436665
5,Simple Resize,complex_image_37.jpg,0.9901388526692276,2.89365459318725
5,Simple Resize,complex_image_36.jpg,0.9942346210951456,1.4897281187529685
5,Simple Resize,complex_image_22.jpg,0.9875025759612398,2.1517682342185656
5,Simple Resize,complex_image_26.jpg,0.9940487524091024,1.4367495793917047
5,Simple Resize,complex_image_32.jpg,0.9927602156130686,1.7619926199261993
5,Simple Resize,complex_image_33.jpg,0.9904492144550019,2.4745852053895327
5,Simple Resize,complex_image_27.jpg,0.9899689440011215,2.1910603830676285
5,Simple Resize,complex_image_19.jpg,0.9944385590734465,1.28560120546273
5,Simple Resize,complex_image_31.jpg,0.9920051837057816,1.8551569646731918
5,Simple Resize,complex_image_25.jpg,0.9926311470133647,2.1864459843045583
5,Simple Resize,complex_image_24.jpg,0.9919481189115471,1.8118124659386796
5,Simple Resize,complex_image_30.jpg,0.9952541983907222,1.2269892386422383
5,Simple Resize,complex_image_18.jpg,0.9924952680596565,1.995850162258072
5,Simple Resize,complex_image_43.jpg,0.98990399391017,3.33661316753422
5,Simple Resize,complex_image_42.jpg,0.9923574812637699,1.5801351955201035
5,Simple Resize,complex_image_40.jpg,0.9892757187774927,2.6957024331127064
5,Simple Resize,complex_image_8.jpg,0.9913007056677732,1.6842686842686843
5,Simple Resize,complex_image_9.jpg,0.9949583397667945,1.116137537332006
5,Simple Resize,complex_image_41.jpg,0.9916783239623053,2.013519187935882
5,Simple Resize,complex_image_45.jpg,0.9899513752189059,2.712948166064393
5,Simple Resize,complex_image_50.jpg,0.9896609150414961,1.8719419610717698
5,Simple Resize,complex_image_44.jpg,0.9939030579777164,1.317248555546428
5,Simple Resize,complex_image_46.jpg,0.9925079257371853,2.023102564893978
5,Simple Resize,complex_image_47.jpg,0.9935557896008967,1.6975408284259508
5,Simple Resize,complex_image_2.jpg,0.996173028879986,1.0951139817103142
5,Simple Resize,complex_image_3.jpg,0.9932102471872042,1.5926424046410597
5,Simple Resize,complex_image_49.jpg,0.9908013475658762,1.2875145558463756
5,Simple Resize,complex_image_1.jpg,0.9852942127061857,3.9903747535661283
5,Simple Resize,complex_image_48.jpg,0.9920824416153576,2.732339408729251
5,Simple Resize,complex_image_4.jpg,0.9920975942408982,2.278438482146087
5,Simple Resize,complex_image_5.jpg,0.9939768266542992,1.2507557767557043
5,Simple Resize,complex_image_7.jpg,0.9926493292533584,1.9339699516170104
5,Simple Resize,complex_image_6.jpg,0.9925190029167511,1.709825752936592
5,Simple Resize,complex_image_15.jpg,0.9918976914316664,2.40582624146638
5,Simple Resize,complex_image_29.jpg,0.9941661681405571,1.1131027636876927
5,Simple Resize,complex_image_28.jpg,0.9918644648315659,2.3018835575945324
5,Simple Resize,complex_image_14.jpg,0.9945584770539385,1.354399441340782
5,Simple Resize,complex_image_16.jpg,0.991849376642309,2.1036151010126285
5,Simple Resize,complex_image_17.jpg,0.9960291458302022,0.8754719191133254
5,Simple Resize,complex_image_13.jpg,0.9943191200876482,1.8043271212702745
5,Simple Resize,complex_image_12.jpg,0.9932986032533634,1.6233639607979635
5,Simple Resize,complex_image_38.jpg,0.9875212237367214,3.208213506115519
5,Simple Resize,complex_image_10.jpg,0.9945727981193813,1.330233480965669
5,Simple Resize,complex_image_11.jpg,0.9910119811145459,1.6810192467183345
5,Simple Resize,complex_image_39.jpg,0.9911960724101091,2.4866742900857037
1,Padding Resize,complex_image_34.jpg,0.9212990717810169,21.205490394918108
1,Padding Resize,complex_image_20.jpg,0.8268439168291313,25.502363673636737
1,Padding Resize,complex_image_21.jpg,0.8872431939652058,11.37985194077631
1,Padding Resize,complex_image_35.jpg,0.8984895611828531,23.03211769581434
1,Padding Resize,complex_image_23.jpg,0.836008922195711,19.089201954089177
1,Padding Resize,complex_image_37.jpg,0.6723560576575213,22.516518032419093
1,Padding Resize,complex_image_36.jpg,0.8274260816661578,21.063100563178853
1,Padding Resize,complex_image_22.jpg,0.9303307533692096,18.51412023100765
1,Padding Resize,complex_image_26.jpg,0.8625472790537763,35.508534066753306
1,Padding Resize,complex_image_32.jpg,0.7843736202796352,71.22341644410919
1,Padding Resize,complex_image_33.jpg,0.7963467880745339,64.7220795301688
1,Padding Resize,complex_image_27.jpg,0.894545702298777,12.858083838498194
1,Padding Resize,complex_image_19.jpg,0.8255155479887797,18.673857480735485
1,Padding Resize,complex_image_31.jpg,0.7899708419777368,39.57107705396587
1,Padding Resize,complex_image_25.jpg,0.822436520338807,29.029883655749828
1,Padding Resize,complex_image_24.jpg,0.9146957614479226,21.430970318713037
1,Padding Resize,complex_image_30.jpg,0.9149276250565416,10.301220790430976
1,Padding Resize,complex_image_18.jpg,0.9139889777828195,5.264409158826139
1,Padding Resize,complex_image_43.jpg,0.8323125639258558,22.18107287449393
1,Padding Resize,complex_image_42.jpg,0.8606840998217445,43.99558285241631
1,Padding Resize,complex_image_40.jpg,0.8580393831238927,70.72796308380721
1,Padding Resize,complex_image_8.jpg,0.8597758570979801,49.444527644527646
1,Padding Resize,complex_image_9.jpg,0.8543292867978199,45.36585949166252
1,Padding Resize,complex_image_41.jpg,0.761604820548172,44.76282542812283
1,Padding Resize,complex_image_45.jpg,0.8339873723643161,45.24101508323855
1,Padding Resize,complex_image_50.jpg,0.8052486222359235,18.892571043365578
1,Padding Resize,complex_image_44.jpg,0.78757835397685,84.76094453115729
1,Padding Resize,complex_image_46.jpg,0.800028832353494,54.80678416000494
1,Padding Resize,complex_image_47.jpg,0.8166217076059903,34.830436233920224
1,Padding Resize,complex_image_2.jpg,0.9858414854878368,1.6954234249202162
1,Padding Resize,complex_image_3.jpg,0.857910313481515,29.205181164641274
1,Padding Resize,complex_image_49.jpg,0.9730053293057427,2.222440040596122
1,Padding Resize,complex_image_1.jpg,0.8763057790061433,31.415857067629144
1,Padding Resize,complex_image_48.jpg,0.9145356032744537,8.333740054398943
1,Padding Resize,complex_image_4.jpg,0.7910373563758956,44.44199739122848
